place	date	r_est	pis	smooth_pis	nseq	period
India	2020-05-16	1.2091285371886638	0.4067693428161921	0.4346916839060797	51	Mar 27 - Jul 24, 2020
India	2020-05-17	1.2634711076726095	0.4250510151139059	0.4339652407997406	52	Mar 27 - Jul 24, 2020
India	2020-05-18	1.2788017524125197	0.4302084786043477	0.4334841171484011	53	Mar 27 - Jul 24, 2020
India	2020-05-19	1.3572945112692163	0.45661464383323636	0.4331571282408578	54	Mar 27 - Jul 24, 2020
India	2020-05-20	1.4101029913452103	0.47438022464202206	0.4328930893659065	55	Mar 27 - Jul 24, 2020
India	2020-05-21	1.4124309786170526	0.47516339518471185	0.4326008158123436	56	Mar 27 - Jul 24, 2020
India	2020-05-22	1.4167604870403334	0.4766199080713813	0.4321891228689654	57	Mar 27 - Jul 24, 2020
India	2020-05-23	1.439586924461206	0.4842990709254084	0.4315668258245679	58	Mar 27 - Jul 24, 2020
India	2020-05-24	1.4070000065419204	0.4733363330702148	0.4306427399679474	59	Mar 27 - Jul 24, 2020
India	2020-05-25	1.3614332776875793	0.45800698819058777	0.4293256805879001	60	Mar 27 - Jul 24, 2020
India	2020-05-26	1.287636378031948	0.43318058185616365	0.42783759166998453	61	Mar 27 - Jul 24, 2020
India	2020-05-27	1.254722596179467	0.4221078819719493	0.4264558749405226	62	Mar 27 - Jul 24, 2020
India	2020-05-28	1.2255374295742558	0.4122895453147189	0.4251725322994557	63	Mar 27 - Jul 24, 2020
India	2020-05-29	1.2177399374438735	0.4096663496395389	0.4239795656467252	64	Mar 27 - Jul 24, 2020
India	2020-05-30	1.2445248698353475	0.4186772107772543	0.4228689768822724	65	Mar 27 - Jul 24, 2020
India	2020-05-31	1.3004770067575069	0.43750036585546176	0.42183276790603874	66	Mar 27 - Jul 24, 2020
India	2020-06-01	1.2729584901065094	0.4282427157470382	0.42086294061796564	67	Mar 27 - Jul 24, 2020
India	2020-06-02	1.274817973989839	0.42886827458047533	0.41995149691799455	68	Mar 27 - Jul 24, 2020
India	2020-06-03	1.2746915094064415	0.42882572995937346	0.41909043870606677	69	Mar 27 - Jul 24, 2020
India	2020-06-04	1.2710930158760885	0.4276151416691712	0.41827176788212356	70	Mar 27 - Jul 24, 2020
India	2020-06-05	1.2443515615220335	0.418618907208574	0.4174874863461065	71	Mar 27 - Jul 24, 2020
India	2020-06-06	1.271630912841565	0.42779609843962213	0.4167295959979569	72	Mar 27 - Jul 24, 2020
India	2020-06-07	1.2812305477875416	0.43102556253558116	0.4159900987376162	73	Mar 27 - Jul 24, 2020
India	2020-06-08	1.208095121971975	0.40642168612327667	0.4152609964650257	74	Mar 27 - Jul 24, 2020
India	2020-06-09	1.1696222537764018	0.39347882452433197	0.4145342910801268	75	Mar 27 - Jul 24, 2020
India	2020-06-10	1.1736385459178864	0.394829966660757	0.4138359280090089	76	Mar 27 - Jul 24, 2020
India	2020-06-11	1.159762321109894	0.39016179229193376	0.4131965609574148	77	Mar 27 - Jul 24, 2020
India	2020-06-12	1.141181411477688	0.3839108899539632	0.4126152542447663	78	Mar 27 - Jul 24, 2020
India	2020-06-13	1.190767675482861	0.4005924679679865	0.4120910721904851	79	Mar 27 - Jul 24, 2020
India	2020-06-14	1.1949306917582534	0.40199297034833037	0.4116230791139927	80	Mar 27 - Jul 24, 2020
India	2020-06-15	1.1433310683399895	0.38463406741795053	0.4112103393347111	81	Mar 27 - Jul 24, 2020
India	2020-06-16	1.1147022561334432	0.3750028968941438	0.41085191717206176	82	Mar 27 - Jul 24, 2020
India	2020-06-17	1.126625251862044	0.379013975111022	0.41054687694546654	83	Mar 27 - Jul 24, 2020
India	2020-06-18	1.1405443569236235	0.3836965750533346	0.41029428297434717	84	Mar 27 - Jul 24, 2020
India	2020-06-19	1.1829336595265367	0.39795698511884714	0.4100931995781253	85	Mar 27 - Jul 24, 2020
India	2020-06-20	1.2684764848523156	0.42673490059283953	0.40994269107622255	86	Mar 27 - Jul 24, 2020
India	2020-06-21	1.3109481148505857	0.4410230068539799	0.4098418217880607	87	Mar 27 - Jul 24, 2020
India	2020-06-22	1.2774039334287377	0.42973823090782814	0.40978965603306156	88	Mar 27 - Jul 24, 2020
India	2020-06-23	1.2620089462675854	0.4245591216422691	0.4097852581306467	89	Mar 27 - Jul 24, 2020
India	2020-06-24	1.251305791957211	0.420958416745324	0.40982769240023786	90	Mar 27 - Jul 24, 2020
